JD,Vel,Errvel,,,,
2453430.324001,-81.20,6.70,,,,
2453460.235768,2.50,7.40,,,,
2453460.297588,-9.70,7.00,,,,
2453506.253786,130.30,8.20,,,,
2453545.042399,123.50,7.30,,,,
2453730.408100,-65.30,8.10,,,,
2453818.237686,-68.40,6.20,,,,
2453821.138258,-80.10,7.30,,,,
2453891.145666,43.30,8.60,,,,
2453899.184958,60.40,7.30,,,,
2454147.298612,-57.90,6.70,,,,
2454210.246254,-83.00,9.20,,,,
2454262.234769,-100.30,8.70,,,,
2454264.223335,-25.90,7.30,,,,
2454458.409299,150.60,6.90,,,,
2454483.406189,158.40,8.70,,,,
2454505.293538,113.90,8.00,,,,
2454516.321792,86.80,7.80,,,,
2454536.294962,17.90,7.50,,,,
2454538.204751,33.10,7.80,,,,
2454619.213839,-138.50,18.80,,,,
2454847.360348,149.90,8.00,,,,
2454930.186145,83.30,6.90,,,,
2454970.217174,-5.50,8.50,,,,
2454970.224605,-10.70,8.10,,,,
2454971.157049,-6.90,7.30,,,,
2454994.182859,-48.50,17.80,,,,
2454995.208262,-45.30,6.90,,,,
2454996.099283,-36.80,7.00,,,,
2454996.106632,-23.70,9.40,,,,
2455130.932411,-4.10,8.30,,,,
