JD,Vel,Errvel
2447046.968,1.9,3.6
2447047.93,15.9,8.4
2447048.912,-0.5,5.7
2447093.854,-23,6.6
2447149.84,4.6,6.9
2447181.711,-38.5,9.2
2447182.744,-13,13
2447193.675,-22.1,3.2
2447194.675,-21.9,4.6
2447223.645,-17.6,3.2
2447374.981,16,5.5
2447389.983,-12.8,7.1
2447392.007,-25,6.9
2447430.968,1.2,4.1
2447431.832,14.7,8.5
2447578.641,-10.5,3.5
2447793.024,19,11
2447793.975,-0.5,9.5
2447794.934,13.4,9.1
2447845.813,-30,6.4
2447846.925,-16.1,8.3
2447919.677,-24,10
2447964.643,37,13
2448114.009,-10.5,6.9
2448115.01,5.6,8.2
2448199.88,-25.7,6.1
2448200.834,-9.6,6
2448648.681,-6.1,4.2
2448848.023,22.9,5
2448857.99,27.7,5.2
2448893.926,27.7,6
